dist_id,cty_nm,adm_nm,road_1,road_2,road_3,road_4,poi_1,poi_2,poi_3,dist_nm,dist_desc
11215820_040,광진구,자양제1동,자양로9길,뚝섬로57길,자양로7길,뚝섬로55길,구립자양1동봄뜰어린이집,자마장공원,자양1동새마을작은도서관,자양로9길 일대,"자양로9길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215820_050,광진구,자양제1동,뚝섬로55길,자양로9길,뚝섬로,뚝섬로57가길,,,,뚝섬로55길·뚝섬로57가길 일대,"뚝섬로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215830_010,광진구,자양제2동,아차산로,자양로,아차산로58길,뚝섬로,동서울우편집중국,(재)우체국물류지원단,동서울제작센터,아차산로58길 일대,"아차산로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215830_020,광진구,자양제2동,강변북로,송파대로,구의강변로,자양로,,,,강변북로·송파대로 자양 교통축,"강변북로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215830_030,광진구,자양제2동,강변북로,자양강변길,송파대로,뚝섬로52길,,,,자양강변길·뚝섬로52길 강변북로변,"강변북로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215830_040,광진구,자양제2동,뚝섬로56길,뚝섬로52마길,자양강변길,뚝섬로58길,현대2차아파트,로얄동아아파트,삼성아파트,뚝섬로56길 일대,"뚝섬로56길 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215830_050,광진구,자양제2동,자양강변길,뚝섬로56가길,자양로3가길,뚝섬로56길,한솔리베르아파트,현대강변아파트,광양고교,자양강변길·뚝섬로56길 일대,"자양강변길 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215830_060,광진구,자양제2동,뚝섬로66길,뚝섬로64길,뚝섬로62길,구의강변로1길,언덕배기공원,양마장공원,양마장어린이공원,양마장공원 일대,"뚝섬로66길 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215830_070,광진구,자양제2동,구의강변로1길,강변북로,자양로,뚝섬로64길,성동초교체육관,성동초등학교도서관,성동초등학교,구의강변로1길 일대,"강변북로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215830_080,광진구,자양제2동,뚝섬로48길,뚝섬로46길,자양강변길,자양번영로2길,광진하나플러스아파트,이레한강아파트,서울신자초등학교도서관,뚝섬로48길 일대,"뚝섬로48길 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215830_090,광진구,자양제2동,뚝섬로52라길,뚝섬로52다길,뚝섬로54길,뚝섬로52나길,신명피아노,그린아파트,금모래공원,금모래공원 일대,"뚝섬로52라길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215840_010,광진구,자양제3동,자양번영로,아차산로36길,자양번영로11길,능동로10길,자양우성1차아파트,자양우성4차아파트,자양7차우성아파트,자양번영로11길 일대,"자양번영로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215840_020,광진구,자양제3동,능동로10길,아차산로,아차산로36길,능동로,광진구의회,광진문화예술회관수영장,더샵스타시티,스타시티·아차산로36길 일대,"아차산로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215840_030,광진구,자양제3동,뚝섬로,능동로10길,뚝섬로37길,뚝섬로41길,자양1차우성아파트,자양우성1차아파트/대원유치원,자양중교체육관,뚝섬로37길 일대,"뚝섬로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215840_040,광진구,자양제3동,강변북로,분당수서로,자양번영로,능동로,뚝섬한강공원수영장,한강시민공원,뚝섬한강공원,뚝섬한강공원·강변북로변,"한강시민공원 인접, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215840_050,광진구,자양제3동,자양강변길,능동로4길,자양번영로1길,뚝섬로36길,우방리버파크,티엔티에프,동자공원,자양강변길·능동로4길 일대,"자양강변길 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215840_051,광진구,자양제3동,자양번영로3길,뚝섬로36가길,뚝섬로40길,뚝섬로36길,자양동삼성아파트,현대6차아파트,자양8차현대홈타운,자양번영로3길 일대,"자양번영로3길 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215840_060,광진구,자양제3동,뚝섬로,뚝섬로34길,뚝섬로36길,뚝섬로35길,한강로얄아파트,뚝섬유원지역쉼터소공원,트라팰리스아파트,뚝섬유원지·뚝섬로34길 일대,"유원지역 인접, 대중교통 접근성이 좋고 수변 여가와 주거 기능이 결합된 역세권 생활권"
11215840_070,광진구,자양제3동,뚝섬로,뚝섬로35길,뚝섬로37길,뚝섬로36길,이튼타워리버2차,자양동한라아파트,자양5차우성아파트,뚝섬로35길 일대,"뚝섬로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215847_010,광진구,자양제4동,강변북로,분당수서로,영동대로,동일로,한강시민공원,서울생각마루(뚝섬자벌레),청담대교하부체육시설인라인스케이트장,뚝섬한강공원·청담대교 하부,"한강시민공원 인접, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215847_020,광진구,자양제4동,뚝섬로,동일로10길,동일로,뚝섬로25길,대동공원,자양동대동아파트,자양12지구소공원(가칭),대동공원 일대,"뚝섬로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215847_030,광진구,자양제4동,아차산로30길,아차산로26길,동일로20길,동일로18길,서울광진구청소년상담복지센터,광진구청소년지원센터꿈드림,자양4동새마을작은도서관,아차산로30길 일대,"아차산로30길 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215847_040,광진구,자양제4동,자양강변길,능동로1길,능동로3다길,능동로3가길,한강우성아파트,신양중교새빛관,신양중교정보관,자양강변길·능동로1길 일대,"자양강변길 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215847_050,광진구,자양제4동,능동로3길,뚝섬로22가길,능동로3라길,뚝섬로24길,약초원어린이공원,약초원공원,한강현대아파트,능동로3길 일대,"능동로3길 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215847_060,광진구,자양제4동,동일로18길,동일로20길,아차산로34길,아차산로30길,노유산공원,서울성수노룬산우편취급국,건대입구역,노유산공원 일대,"건대입구역 인접, 대중교통 접근성이 좋고 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215847_070,광진구,자양제4동,동일로2길,뚝섬로22가길,뚝섬로22길,뚝섬로24길,자양(뚝섬한강공원)역,꿈에그린아파트,성화공원,자양역·뚝섬로22길 일대,"자양(뚝섬한강공원)역 인접, 대중교통 접근성이 좋고 수변 여가와 주거 기능이 결합된 역세권 생활권"
11215850_010,광진구,구의제1동,광나루로30길,광나루로,광나루로30나길,자양로29길,대영아파트,광진경찰서청사,서울광진경찰서,광나루로30길 일대,"광나루로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215850_020,광진구,구의제1동,구의로,광나루로40길,자양로26길,자양로28길,새한아파트,더바움문화예술작은도서관,삼성로얄아파트,구의로 일대,"구의로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215850_021,광진구,구의제1동,자양로,자양로22길,자양로26길,자양로28길,서울동부센터,현정유치원,동부채권관리단,자양로22길 일대,"자양로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215860_010,광진구,구의제2동,영화사로,영화사로11길,영화사로13길,영화사로16길,아차산,아차산백천폭포,서울동의초등학교,아차산·영화사로 등산로입구 일대,"아차산 인접, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215860_020,광진구,구의제2동,자양로44길,천호대로,영화사로,자양로50길,아차산배수지체육공원테니스장,아차산배수지체육공원축구장,아름드리작은도서관,아차산배수지체육공원 일대,"천호대로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215860_030,광진구,구의제2동,천호대로,광나루로,워커힐로,광나루로44길,상수도연구원도서실,구의야구공원,,천호대로·광나루로 일대,"천호대로 주변, 간선도로 축을 따라 이동이 편리하며 도로변 상업축과 주거 배후가 공존하는 생활권"
11215860_031,광진구,구의제2동,광나루로,광나루로37길,자양로38길,천호대로136길,래미안구의파크스위트,구의파출소,서울광진초교,광나루로37길 일대,"광나루로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
11215860_040,광진구,구의제2동,천호대로,자양로44길,천호대로137길,자양로,노블리스아파트,은진아파트5차,한솔아파트,천호대로137길 일대,"천호대로 주변, 간선도로 축을 따라 이동이 편리하며 도로변 상업축과 주거 배후가 공존하는 생활권"
11215860_050,광진구,구의제2동,자양로,자양로33길,광나루로,자양로37가길,한영해시안아파트,파인캐슬,세종사이버대학교,자양로33길 일대,"세종사이버대학교 인접, 간선도로 축을 따라 이동이 편리하며 캠퍼스 배후 주거 중심의 생활권"
11215860_060,광진구,구의제2동,천호대로132길,자양로,자양로39길,자양로37길,세종사이버대학교,구의2동마을마당,경복초등학교,천호대로132길 일대,"세종사이버대학교 인접, 간선도로 축을 따라 이동이 편리하며 캠퍼스 배후 주거 중심의 생활권"
11215860_070,광진구,구의제2동,자양로,천호대로,천호대로131길,자양로43길,아차산(어린이대공원후문)역,리치캐슬아파트,서원상떼빌아파트,아차산역·천호대로131길 일대,"아차산(어린이대공원후문)역 인접, 대중교통 접근성이 좋고 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215860_080,광진구,구의제2동,자양로50길,자양로50가길,자양로52길,자양로52길,아차산아래작은도서관놀자,사람아이앤지작은도서관,아차산한라아파트,자양로52길 일대,"자양로50길 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215870_010,광진구,구의제3동,강변역로,구의강변로3길,구의강변로3가길,구의강변로,광진지사,장미공원,구의동7단지현대아파트,강변역로 일대,"강변역 인접, 대중교통 접근성이 좋고 수변 여가와 주거 기능이 결합된 역세권 생활권"
11215870_020,광진구,구의제3동,광나루로54길,광나루로56길,광나루로,강변역로,구의공원,구의공원옆(동절기11월1일4월30일),구의공원옆(하절기5월1일10월31일),구의공원 일대,"광나루로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215870_030,광진구,구의제3동,강변북로,구의강변로,강변역로4길,강변역로,해모로리버뷰아파트,동서울종합터미널,동서울(호남.영동)고속버스터미널,동서울종합터미널·강변북로 일대,"동서울종합터미널 인접, 광역 교통 접근성이 뛰어나고 환승·유동 수요를 바탕으로 상업·주거 기능이 혼합된 지역"
11215870_040,광진구,구의제3동,강변북로,광나루로,구의강변로,강동대로,,,,강변북로·강동대로 구의 교통축,"강변북로 주변, 간선도로 축을 따라 이동이 편리하며 한강 수변 여가와 주거가 맞닿은 생활권"
11215870_050,광진구,구의제3동,강변역로,구의강변로,광나루로56길,강변역로4길,강변,강변역(동서울터미널),강변(동서울터미널)역,강변역·강변역로4길 일대,"강변역(동서울터미널) 인접, 광역 교통 접근성이 뛰어나고 환승·유동 수요를 바탕으로 상업·주거 기능이 혼합된 지역"
11215870_060,광진구,구의제3동,구의로,광나루로52길,구의로4길,아차산로59길,목련어린이공원,목련공원,무궁화어린이공원,아차산로59길 일대,"구의로 주변, 간선도로 축을 따라 이동이 편리하며 녹지 인접성을 강점으로 한 주거 중심 생활권"
11215870_061,광진구,구의제3동,광나루로,구의로16길,구의로,광나루로44길,범세퓨전아파트,강변SKVIEW,세림리오빌,광나루로44길·구의로16길 일대,"광나루로 주변, 간선도로 축을 따라 이동이 편리하며 근린 주거와 생활편의 기능이 중심인 지역"
